--------------------------------------------
	ID	|	A	|	Nz	|	Pz	|	Iz	|	PzIz	|
	133	|	ызо	|	1.000	|	0.006	|	7.295	|	0.046	|
	134	|	ых,	|	1.000	|	0.006	|	7.295	|	0.046	|
	135	|	ых_	|	1.000	|	0.006	|	7.295	|	0.046	|
	136	|	ь_в	|	1.000	|	0.006	|	7.295	|	0.046	|
	137	|	ь_р	|	1.000	|	0.006	|	7.295	|	0.046	|
	138	|	ька	|	1.000	|	0.006	|	7.295	|	0.046	|
	139	|	ься	|	1.000	|	0.006	|	7.295	|	0.046	|
	140	|	ьшо	|	1.000	|	0.006	|	7.295	|	0.046	|
	141	|	я_г	|	1.000	|	0.006	|	7.295	|	0.046	|
	142	|	ядь	|	1.000	|	0.006	|	7.295	|	0.046	|
	143	|	язе	|	1.000	|	0.006	|	7.295	|	0.046	|
	144	|	ясн	|	1.000	|	0.006	|	7.295	|	0.046	|
	145	|	ят_	|	1.000	|	0.006	|	7.295	|	0.046	|
	146	|	ять	|	1.000	|	0.006	|	7.295	|	0.046	|
